STG_Location,QR_UUID
STG-DD119-2,EBEBD1B3-996B-47F6-A68F-ADD0948276A8
STG-DD119-3,CC006E06-33D1-4E0B-8057-4A9E236DBD00
STG-DD119-4,2A79C8E6-FA97-4E6F-AC0C-841DEEEBE314
STG-DD119-5,E36900E0-0EC6-4619-ADF4-7F7524BAEC74
STG-DD119-6,83E15EEE-E8D9-4469-848E-8A0DBA99C3B5
STG-DD119-7,F955970A-2681-4F9A-A9BA-FB1C1867D6DC
STG-DD119-8,D8398814-2A77-4612-8A49-BED3355D2512
STG-DD119-9,6E652B24-14A1-4068-A83B-721516BE8DC9
STG-DD119-10,0A70D4CC-EBAF-43B2-A591-0105D164BD98
STG-DD119-11,623FE028-9ECF-408A-AE7C-865F92E23C39
STG-DD119-12,E5E07B52-0D90-4AB6-9D89-292D8B273B84
STG-DD119-13,2595A4F7-8934-4CFD-96CB-E992DF386120
STG-DD119-14,818FDC0D-EEFB-4E78-BEF5-051B8203C336
STG-DD119-15,2BA4F5A3-9187-43E6-92D2-EF8966505FBE
STG-DD119-16,A4CF9575-D43C-47D5-99C7-2C641C1FDD15
STG-DD119-17,B35AEC74-AB4F-4838-AA51-0226B74E6188
STG-DD119-18,1DBCCDD0-0FB3-43AF-B6D9-3D6317C29D92
STG-DD119-19,78565EB1-B20B-4F06-8886-7E13CF8CAA83
STG-DD119-20,E5281340-E4A6-4E6C-8DD8-5E838DA7FC6A
STG-DD119-21,65868067-886E-4F5E-869D-E3EE621CE511
STG-DD119-22,C2193D8A-D598-4291-B72A-E5641A38B263
STG-DD119-23,A07C06F3-406E-41AD-BBEB-0120269C8F54
STG-DD119-24,4D7322A7-3DC2-4AAB-BE36-477FC3F2449E
STG-DD119-25,07D4244D-A4E8-4924-A3E2-43A50545A34D
STG-DD119-26,F0F4383A-5FAB-4CE0-831C-964A2DB54873
STG-DD119-27,FFAEFAC5-1B98-43E7-AF08-CB4470F171FD
STG-DD119-28,F02CEFF2-930D-4E26-9B41-A173BA67A0CB
STG-DD119-29,A66AE502-A856-461D-AA56-1D81B7E065A7
STG-DD119-30,A9CD45BF-7367-4BAF-A640-FF1DE215C41A
STG-DD119-31,E27720B3-C08A-4079-8BAD-5B9127B99DBB
STG-DD119-32,722E1112-D9E2-48D3-BBE0-5C40D1A1B8D3
STG-DD119-33,A9D42985-2D42-470F-9A24-4FE91A9E7EB2
STG-DD119-34,692C8632-A710-4C3A-B493-EE13940E8CC6
STG-DD119-35,5E633772-4373-4F62-BA91-14781D66368F
STG-DD119-36,8261D9C9-8703-4A8F-8649-D169EDD44545
STG-DD120-1,9AF0EE07-12F4-41A2-90DF-43EF1354F4A7
STG-DD120-2,0BAB38D1-B48A-4CD1-AB47-B9CC9D7D867A
STG-DD120-3,94451D46-81FC-4986-8801-8F57ADB41987
STG-DD120-4,67438B3E-18E5-40E4-8FAC-C3B05555DA67
STG-DD120-5,7D5885C8-36B2-490A-B1FA-8F50A5FE4D56
STG-DD120-6,BAF38247-8661-4FA9-AC89-C15EF03C55EC
STG-DD120-7,E2AA34B0-3A19-40FF-823A-E8D6D56DCF59
STG-DD120-8,7594E714-BEA5-4B3F-BABF-4E2C002CD8CE
STG-DD120-9,C02EE276-400E-41D0-8139-0AE94B03BCA1
STG-DD120-10,3EF27AC8-22DC-49C4-AECD-3D6AB1D78B69
STG-DD120-11,B4C54CCD-EB24-4573-A6D1-0BCE76D33D22
STG-DD120-12,D68F0EE2-6130-4E3B-A1BE-CD115A2E4AF5
STG-DD120-13,5B9DB271-8310-4E0D-A8F2-512EFB46AF78
STG-DD120-14,CD697907-F08A-43A3-9035-1BF25EA4D31E
STG-DD120-15,CEDD80D4-19DC-4DF2-B86A-E6D6A6CF9AC0
STG-DD120-16,7D1B38DF-9C7E-49C2-97D4-F6C264835B6A
STG-DD120-17,D74DB7D4-08D6-4A98-925F-0C7A22168B39
STG-DD120-18,27877E8D-CAFB-47CF-A95A-EF5EEFBBF747
STG-DD121-2,249D3D65-DB61-4AE6-93CA-C852B0367DBA
STG-DD121-5,79340926-9656-4BDE-A624-56C65CCE17D9
STG-DD121-10,0ED85051-1318-4E43-B1EB-C0F1F8E0FDAE
STG-DD121-11,5FE898F3-ADFE-4A8C-8923-6F65B11816AF
STG-DD121-12,59DC5C50-E967-4205-AB22-773B44D50C78
STG-DD121-13,00B0963B-3072-4CAF-9C0D-E32AC68023DE
STG-DD121-14,1D90465F-7022-449E-A87C-6E9259B18985
STG-DD122-1,1FD5434E-622F-44E2-BAEE-901D769716B0
STG-DD122-2,DA580F29-8BDA-474F-9EAF-E9E7D9EFFC1F
STG-DD122-3,35FE2FB8-2ED2-45D6-8547-CBFE2F20E9EC
STG-DD122-4,6A629BD3-2657-482E-9873-EA42198CA951
STG-DD122-5,DD7F1554-5326-4E65-AE1B-D67748EA14E2
STG-DD122-6,74E1B878-4CF8-4E91-B096-812FE9FFE9BF
STG-DD122-7,EA2FDBFC-94AD-44F8-B9AE-156260C43745
STG-DD122-8,8A8DFB5F-4458-428E-9FCA-B26B3FAAB1EC
STG-DD122-9,070682B3-75B7-4A37-98C8-AA4FF09169A6
STG-DD122-10,503245A9-3763-4564-A4D0-9ED3C2455E1D
STG-DD122-11,5984A156-E730-4F56-B9E0-3211FB81AEB3
STG-DD122-12,558CE5A8-0643-43CB-A334-0C0D74E755CC
STG-DD122-13,57763A12-9156-4EB7-ABD9-A2E647D03095
STG-DD122-14,BF76CE6F-0442-4562-B2F2-27ED193A4116
STG-DD123-1,BEF6EE1A-6EBD-4073-B131-3DAD96FC4D17
STG-DD123-2,E070DABB-6A34-4C6D-8C60-8FA74BF0A89C
STG-DD123-3,2ACDC3D7-BF77-4208-BA06-70772BEE9C99
STG-DD123-4,FE321C19-8EA7-4BEC-B3B3-06B8DBE4AA5D
STG-DD123-5,27E74805-67BC-4CDF-AB46-B8D78379CD1D
STG-DD123-6,2C5207A5-3468-4398-9537-EA88CC8F5ACF
STG-DD123-7,ADD6815E-D2D9-46A4-B267-4B745A02E97B
STG-DD123-8,DF7C7BFE-E99F-4682-A88D-461EAE0D77B5
STG-DD123-9,7F53C02F-E5BB-445F-A9C3-303AD805FD97
STG-DD123-10,0BB5A97F-6B77-40E6-B802-80EECD4D293D
STG-DD123-11,9A0C3C28-C354-43F5-9C26-34C7F7249DF6
STG-DD123-12,25CEC4B7-C6E2-44BF-BDFD-18D1D47D77E0
STG-DD123-13,63D97456-539B-4AD6-A76B-69527B53DD32
STG-DD123-14,6125CE24-99D8-4AB4-9084-FBD8510CF029
STG-DD123-15,03C727EB-0437-4275-99EE-95F72214B6FB
STG-DD123-16,B5DC3BED-CDEF-4C21-819B-4BA2B0F3A466
STG-DD123-17,F2575989-5633-4825-8ED4-D151694794F4
STG-DD123-18,C97247BC-592E-49B3-BB44-8C24C1355257
STG-DD123-19,2B027F0A-A288-492C-B49C-410901D852B2
STG-DD123-20,23DF89B6-A0BE-4EF0-AEF2-B02EBB0F6051
STG-DD123-21,3DC91A7D-98FF-44C2-B64B-55C40F7E6F04
STG-DD123-22,6E82FBC5-9DFF-4CF1-AED1-9A095B2FD001
STG-DD123-23,FB50C1F6-3C7C-4716-A829-D351BAFCB2C5
STG-DD123-24,ECC9B322-E2A5-4FF8-99B6-2DA197EF8CDF
STG-DD123-25,C3E843DF-C279-49EA-9B48-1F4565CB5289
STG-DD123-26,E10A8565-A47A-4DC4-89C8-C29A1B4FDE0D
STG-DD123-27,64B0C163-C893-4D78-92F3-BC448555197C
STG-DD123-28,C000258B-78E9-4DF8-B80E-E604B9C2F51F
STG-DD124-1,A141F81F-A8A0-4F99-913F-8430BE037745
STG-DD124-2,412A0AEB-6CFC-4A81-9379-3FCAD5B57C7F
STG-DD124-3,B5C800CB-42A9-4BF1-B982-8E341F16108D
STG-DD124-4,2423A263-ABE5-4619-8D88-BC7AEBC9DAA3
STG-DD124-5,0CC39073-06F6-42C5-BF4B-3A266E5C780F
STG-DD124-6,C1083644-4A66-4C47-AEF9-25301E367F93
STG-DD124-7,AEBF88B3-3CCC-4838-AE01-68445B857D5A
STG-DD124-8,210163F1-2E1B-4A2C-B8C0-AE9DC070C2DA
STG-DD124-9,AB6CAEE5-05E8-4738-B737-46C8BD743A91
STG-DD124-10,F07F390F-D3B9-44EA-B310-B0DA8678B49D
STG-DD124-11,63A81EB5-A88E-40FB-A501-84992343DB24
STG-DD124-12,E2B9C78D-F9F6-4722-ACDD-C2E6D0430BFF
STG-DD124-13,821948B4-3646-439B-A567-4AFA29B416AF
STG-DD124-14,436D6EA1-AAFE-41FE-B821-48ACECECF283
STG-DD125-1,CE705E7C-8FAA-43B5-BA29-0822CC031687
STG-DD125-2,7860603D-9C8C-4925-82AC-DBC0D96E2E88
STG-DD125-3,B1C1EC3D-D545-496A-AB53-59FEC53C48E5
STG-DD125-4,31EAF45F-CCEC-4EF3-8E48-2B96551A2E04
STG-DD125-5,A22A8B70-863A-4D3F-AF15-21486433105F
STG-DD125-6,52596B1D-792B-44DE-BC2D-7ED31DB58E77
STG-DD125-7,7B58DF7B-219B-4701-9CCB-19631D90E4C5
STG-DD125-8,0C92E615-4CB0-46AD-BA91-7CB8ED2B72CF
STG-DD125-9,60223C9B-A492-4B0F-AF2E-A0B039E24DB6
STG-DD125-10,FBADF0FF-A46C-4398-BFB6-4638DEDF2D9F
STG-DD125-11,0A1F5CF2-C6B1-4201-87C7-4B3E277207AB
STG-DD125-12,AA3679FD-23EB-4104-93C5-ADC5133A42A1
STG-DD125-13,CCB561CB-C627-485C-88EF-771ABE6CB2B4
STG-DD125-14,3F729CC0-05A6-4F6D-9384-D031509A1F8E
STG-DD126-1,EA5727FC-6487-44BE-9DE0-99F4B769784E
STG-DD126-2,D2FEFF26-68B3-40B4-A6A3-47F671D2437A
STG-DD126-3,8E9A8DE0-05D7-4DC6-8172-812FD3020666
STG-DD126-4,77688B54-8DC2-4060-ADBB-3C4FC7118081
STG-DD126-5,BC03DCD9-A003-47E3-A335-0479372E86ED
STG-DD126-6,3576B960-011D-47D7-8513-2272BD5C08FC
STG-DD126-7,4DA308E8-E0F9-41EE-B713-7FD00F0BCF79
STG-DD126-8,86C2B2B9-2043-47CF-A1FB-DBF79A5496D1
STG-DD126-9,C00AD597-8EEA-4F81-9D33-451483553018
STG-DD126-10,3F707D41-06BB-4A94-887B-D663B6DAC7CF
STG-DD126-11,067759A2-E357-43BE-9EBF-FE4F9FB0773D
STG-DD126-12,41D9C935-442A-4EE5-B80D-F1FDA0C3E45B
STG-DD126-13,041AF565-4149-4319-8B55-E9626FF2D8DC
STG-DD126-14,242E0B25-8BF3-4D4D-B977-97E162298C4B
STG-DD126-15,0D6B1E8F-9C83-446A-B986-4E8B138937D5
STG-DD126-16,88367EEA-6C29-47AB-829C-EFB843C7580B
STG-DD126-17,B623D348-E771-4099-821A-7CB3D939C76B
STG-DD126-18,DC02ED50-7F74-4854-B8F7-6D50672A1D7B
STG-DD126-19,D25A4423-90EE-415F-B6C6-AA1C2063AB19
STG-DD126-20,E15AF884-179E-488D-A252-FD4F5954CC6E
STG-DD126-21,374C29E3-796D-416D-A144-44FC4ED34DA4
STG-DD126-22,8B4C7577-3F81-48C7-9823-84540CB121DE
STG-DD126-23,8B76DBAD-E79B-4800-8343-B1D0F25907D1
STG-DD126-24,93461E8B-1F94-4699-AA81-5A1068E8BAC0
STG-DD126-25,B126326A-697A-4C26-91B3-83882D420453
STG-DD126-26,E54A8F0D-6A88-4288-A3EF-184A4283B540
STG-DD126-27,A81B8448-5EC7-4ABC-90D0-7972BA904999
STG-DD126-28,50DBF022-ACD1-43B2-A4CB-EC5FD4D01015
STG-DD127-1,FC00E159-18D8-455D-BA3A-2701FF15AE30
STG-DD127-2,AACA846A-824E-4170-87DB-938D0B2CE7EA
STG-DD127-3,581AC3C6-281B-4E26-AD95-6B041FBBDC4A
STG-DD127-4,6C5ED322-A20A-4F5D-951F-6B11BE39FF69
STG-DD127-5,36A591CB-FCD8-44BC-B56F-70127F4F1A1C
STG-DD127-6,50FBEB2A-3838-4D5C-AC52-1AEC158E480D
STG-DD127-7,4B7D2FFC-0FDC-449C-A2AE-2379A4BFF8F6
STG-DD127-8,04D30BDA-E6BB-4176-9361-DF3395F7180F
STG-DD127-9,FED003B3-93E0-4330-9A3A-A18EA00F2899
STG-DD127-10,3077EF86-C801-426C-A10C-36355E71E472
STG-DD127-11,57752332-099F-4891-914B-7569E0C374C7
STG-DD127-12,AD4ED188-58CF-4073-8781-22081765F422
STG-DD127-13,D2E4F3D8-3D78-4B8A-846F-F365AFDEB61F
STG-DD127-14,59DBA226-7DE5-48C6-BA0C-11E6AFBCD163
STG-DD127-15,C73A6813-C039-46AC-B8A2-366E74B89B07
STG-DD127-16,2DC60420-D56E-4139-80CE-ADC62D14F433
STG-DD128-1,76208E40-9452-41A5-A835-B2A8730596CF
STG-DD128-2,DC93DF16-0C1D-4447-B20F-BA458A80E951
STG-DD128-3,F8F940A6-F49E-4519-860D-ABB51B8C0B0E
STG-DD128-4,7EC3F749-027A-4EC0-981B-1624892D0249
STG-DD128-5,BC3B6367-F878-489D-B85C-CA684CFC9E30
STG-DD128-6,5C4EBEDA-99DE-445E-A198-196BF8874ADF
STG-DD128-7,42CAF3AD-86F5-41D9-BF4E-A500F3FD4F69
STG-DD128-8,8DD4A59B-213C-4C2B-85A8-0A142B085FA2
STG-DD128-9,0E7EA569-8B54-4EEC-B234-145EEC2A8A32
STG-DD128-10,F58C79F6-209B-42BC-A552-9D14696E39EA
STG-DD128-11,9817F370-A321-4D3A-8494-1105F3CF7958
STG-DD128-12,ED6AE56D-DC08-470D-BF23-232D54FCED73
STG-DD128-13,18211954-F01F-4C4C-A444-0A443955C1C0
STG-DD128-14,418324F4-522F-4D6B-8546-00190D46423B
STG-DD128-15,591B1C35-244B-4325-8F8E-A2E416737561
STG-DD128-16,3C6F3E09-F1BA-4600-AAE6-2F03C8A105ED
STG-DD128-17,7813F399-0D97-4844-AEC9-36B39C8BE0F2
STG-DD128-18,456B58B7-A3E4-4873-829F-AD0B0F6D32C5
STG-DD130-1,F2221206-B2DF-4AD5-A88A-4D0CCBB427E5
STG-DD130-2,A2571C78-9B3B-4AB4-A6D8-53125EA88F33
STG-DD130-3,62736C8E-2C72-45BC-AF4A-D725FA8A3BCD
STG-DD130-4,D2778C0D-09C3-4A57-8E29-E731C5523B08
STG-DD130-5,E4A8C44B-02E6-4F21-8BF0-AA691DAECFB5
STG-DD130-6,7F7DE5D5-B1FA-4E70-94BA-29964892A2F0
STG-DD130-7,8A22DDFA-C078-472B-83C0-00731EF9201F
STG-DD130-8,B4802313-6359-44DC-9F59-4366A1B81573
STG-DD130-9,D9AE9811-08B6-4737-B284-A3255FE5691F
STG-DD130-10,13C6E884-3F7B-447F-A707-BC59642EE1A5
STG-DD130-11,43B649EC-9B1F-43CC-A157-EEED934D24BC
STG-DD130-12,CDA5CC71-B6F4-4CE6-822D-64800DF37EDA
STG-DD130-13,9F50A57E-F9AE-45DF-B53B-96B02901D7F8
STG-DD130-14,B3A07DA5-113A-47A4-B419-4ADB9D0BF203
STG-DD130-15,DDF73B51-8D99-4242-92A3-67382061E7F1
STG-DD130-16,DBABE5CB-634F-4016-9186-9DB41EBD54CB
STG-DD131-1,D8A7CDBA-0187-41A0-BAA7-DA287AF5CE90
STG-DD131-2,08C408DB-B01A-4386-999F-A299D716175D
STG-DD131-3,2EB93CBD-B0FB-4A14-AE58-B320D05DB124
STG-DD131-4,8E26EF51-8F5E-4D39-B52A-38F5DB48C6E0
STG-DD131-5,10572527-9C90-4167-BF95-B6BF78F64C5A
STG-DD131-6,4DFF8AD2-D935-4A34-9258-BB864311C9B1
STG-DD131-7,A3548A89-C4D7-43B9-A20D-31EE85B65E63
STG-DD131-8,ACC77056-7655-4D14-9A32-EC272670F0EE
STG-DD131-9,67B555CC-B774-42EC-A93D-93CB294319F0
STG-DD131-10,336C5150-7E40-4FFC-A8F4-10C1FDFE770B
STG-DD131-11,AEE06FF6-C722-4FDB-8D1D-3B8139637216
STG-DD131-12,8ABBE0DB-1C59-4FD2-ABE2-2DD1CB02C9F4
STG-DD131-13,E7EA9BC1-E5F8-4210-AF58-4E26F9946916
STG-DD131-14,3D1CABBF-EBCA-4EC9-8BC7-E08C5ACEEA1B
STG-DD131-15,0AF5064F-4E92-4071-A341-D8C5970CFD53
STG-DD131-16,C48408EA-B48C-46A3-9C9C-601136F6800C
STG-DD132-1,6925F496-4D35-4440-A3EB-183278A89876
STG-DD132-2,260D8354-FCF6-401B-845E-E835A409D6CA
